City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
446,Uniontown,US,39.90,-79.72,71.67,50,94,3.0,overcast clouds
447,Kasongo-Lunda,CD,-6.47,16.82,69.64,26,74,1.19,broken clouds
448,Awjilah,LY,29.11,21.29,82.36,38,0,11.88,clear sky
449,Palmer,US,42.16,-72.33,78.42,66,20,0.0,few clouds
450,Adrar,MR,20.50,-10.07,93.79,30,1,5.48,clear sky
451,Kampong Chhnang,KH,12.17,104.55,76.26,88,100,1.86,overcast clouds
452,Waipawa,NZ,-41.41,175.52,46.06,70,57,2.66,broken clouds
453,Anahuac,MX,27.23,-100.15,99.77,26,69,9.35,broken clouds
454,Dongobesh,TZ,-4.07,35.38,50.61,91,96,7.27,overcast clouds
455,Nampula,MZ,-15.12,39.27,62.55,100,0,2.3,clear sky
456,Kununurra,AU,-15.77,128.73,76.98,33,5,12.66,clear sky
457,Calolziocorte,IT,45.80,9.44,76.96,55,98,3.27,overcast clouds
458,Birnin Kebbi,NG,12.45,4.20,73.49,81,99,3.71,overcast clouds
459,Sorland,NO,67.67,12.69,49.86,85,100,26.78,overcast clouds
460,Shelabolikha,RU,53.41,82.62,59.49,93,65,3.49,broken clouds
461,Taoudenni,ML,22.68,-3.98,98.6,9,1,1.39,clear sky
462,Vao,NC,-22.67,167.48,68.36,59,7,20.27,clear sky
463,Tortoli,IT,39.93,9.66,75.02,69,0,11.5,clear sky
464,Aksha,RU,50.28,113.29,62.82,61,41,8.39,scattered clouds
465,Raichur,IN,16.20,77.37,74.77,80,98,14.34,overcast clouds
466,Kelsterbach,DE,50.07,8.53,75.56,37,0,10.36,clear sky
467,Najran,SA,17.49,44.13,85.69,38,99,6.91,overcast clouds
468,Minatitlan,MX,17.98,-94.52,78.89,89,75,11.5,broken clouds
469,Nieuw Nickerie,SR,5.95,-56.98,80.13,81,25,8.3,scattered clouds
470,Opuwo,NA,-18.06,13.84,62.35,19,4,1.97,clear sky
471,Kem,RU,64.96,34.58,56.91,71,77,15.17,broken clouds
472,Izhma,RU,65.01,53.91,59.9,75,100,9.42,light rain
473,Road Town,VG,18.42,-64.62,84.29,78,20,13.8,few clouds
474,Sungai Besar,MY,3.67,100.99,78.21,85,57,3.47,broken clouds
475,Itoman,JP,26.12,127.67,86.77,79,75,5.75,broken clouds
476,Buala,SB,-8.14,159.59,82.54,75,60,3.65,light rain
477,Margate,GB,51.38,1.39,70.9,90,7,1.99,clear sky
478,Sretensk,RU,52.25,117.71,60.12,90,96,2.01,light rain
479,Sesheke,ZM,-17.48,24.30,61.14,35,6,6.08,clear sky
480,Manbij,SY,36.53,37.95,74.93,80,0,17.18,clear sky
481,Chernivtsi,UA,48.29,25.94,56.41,88,37,4.9,scattered clouds
482,Taunggyi,MM,20.78,97.03,63.28,99,100,3.42,overcast clouds
483,South Lake Tahoe,US,38.93,-119.98,84.79,30,0,8.05,clear sky
484,Sacramento,US,38.47,-121.32,98.29,22,0,11.5,clear sky
485,Ajaccio,FR,42.00,8.92,69.85,78,0,8.05,clear sky
486,Saint-Joseph,RE,-21.37,55.62,63.21,75,28,10.8,scattered clouds
487,Harlingen,US,26.19,-97.70,89.55,76,0,13.8,clear sky
488,Atar,MR,20.52,-13.05,96.89,32,72,10.94,broken clouds
489,Klyuchi,RU,52.27,79.17,62.02,86,96,5.59,overcast clouds
